label,text,notes
positive,"Strictly reviewing as a former Genshin player comparing it to Genshin for those who are interested. TLDR: it pretty much beats Genshin in every single aspect in my opinion, except for music. Here are the specific things for those who are considering jumping ship from Genshin: 1. Teleportation to important events as a new player do not require manual teleportation unlock. It doesn't try to waste your time with forced ""map exploration"". 2. Character gacha is more lenient (80 rolls for pity at 50/50), Weapon gacha is guaranteed at 80. Soft pity is noticeable once you are at 50+ rolls. 3. Daily stamina (the thing you use to consume for time-locked grinding) has a bank for regeneration overflow. Most dungeons also give you the option of x2 consumption without the need to craft any items (one grinding run counts twice if you spend double stamina). It's completely free and a built-in feature without you having to do anything extra. 4. Echos (artifact eqivalent) can drop from normal enemies at top rarities. Also after a certain point, all echo drops are 5 star at 100% chance. You will never have those useless purple artifacts in Genshin. 5. Open world items collection for character limit breaks are entirely guided by the UI. It shows you exactly where things are and they require far fewer in quantity than Genshin. One day's collection run can get you through most of what you want to do (though I think Genshin more recently implemented something similar?). 6. Combat is more action based and character controls are actually important. You can solo your favorite character if you truly want to. No character is truly a backstage ""support"" in Genshin whose only purpose is to give buffs. 7. Manual input and enemy reading determines combat, not superficial knowledge checks about elemental reactions like in Genshin. It's not like Genshin's 4-character braindead swap circles for elemental reactions (splash, swap, splash, swap, splash, swap, boom ad nauseam). 8. Dialogues can be skipped entirely. 9. Daily mission is just 1 and it covers most of your daily reward. It's very time friendly. It usually involves talking to 1-2 NPC or killing 1-3 enemies. Symbolic and respects your time. 10. Climbing has the ""running"" option. 11. Normal running doesn't consume stamina. No open-world stamina annoyance. 12. Quest markers are far more accurate than in Genshin. 13. Your character can literally fly like a jet plane in addition to the usual Genshin gliding, giving you Z-axis. It gives you more creative ways to access the map without wasting your time. 14. As a new player, you will mostly get a 5 star character you want because there are several guaranteed banners exclusively for new players, some characters are not even supposed to be available on your current banners. I started off with a past-event character I really like that isn't on the current event banner exclusive to me as a new player. You get that for weapons as well. 15. Additionally there are fixed common pool 5 star characters that appear in new player events. The freedom of selection is fairly high so you are pretty much guaranteed a full team of 5 stars within your first few days. 16. Enemy drops do not require manual pickup. 17. Chests on the map can be clearly detected by the UI once you unlock the features. 18. There is no weekday rotation for any kind of farming. All farming is available at all times. 19. Characters are built VERY differently from each other. Button smashing wouldn't do you any good. You actually have to learn the input and combos. 20. Built in guides and recommendations from the game client itself (though I think Genshin added this as well). It also has character-specific tutorial to walk you through the specific mechanics and input/combos. Now for the more opinion based comments: 1. The music is inferior to that of Genshin, mostly because they lack distinct melodies and feel truly like ""generic video game background noises"". 2. The character designs are superior to Genshin, but I understand this depends on your demographic. There are far fewer childish characters here and most look and act sexy/handsome/mature. And I don't mean lolis. I am mostly talking about characters who act and look one dimensional like a Disney character regardless of body type. Plenty of those in Genshin. 3. The story is less childish. This isn't a fault of Genshin as Genshin still targets children for a lot of its contents. This one has far less silliness even in side quests. There are not that many sanitized optional contents with cringeworthy pixar/disney style side character plots with all sunshine and rainbows that torture adult players. 4. The main character speaks and is part of the story. The silly and childish ""banter"" is a lot more toned down than the MC+Paimon combo in Genshin. It is far less aggravating. 5. Cooking so far seems entirely optional as it wasn't required by any quest I encountered. I prefer this to the heavy-handed push for cooking in Genshin.",
positive,"CCP Gotcha Game with Kernel level anti cheat that's practically spyware. I can't see anything wrong with the game so far regarding unauthorized programs being run like with Once Human but can you really risk it? This is something you'll have to answer for yourself. I've run CMD scripts and verified for myself that 1) The ACE program does not stay active after the game closes out. 2) ACE does fully delete upon deletion of the game. I'm just starting to play this game but I'd thought I'd comment on it seeing this was two of the biggest concerns about Chinese based games. Update: Cheating I've created several accounts to test the ACE anti-cheat program. I've poked and prodded. I've used 3 different injection methods and every combination of cheats there is. Meaning, activating and deactivating different cheats for different parts of the game to decrease the chances of detection. What I found was that the code injectors were detected INSTANTLY every time. I have two issues with the enforcement of anti-cheat policies with this game. First, there is no live banning. If you're going to cheat you will be able to do so for the entire duration of your session so long as you do not log out. Why is this a problem? Creators of cheat trainers can promote the sale of their programs by showing you live videos of them spending hours in the game ""undetected"" when in fact, the cheats have been detected and their account has already been banned. Finally, you're able to create accounts based on Temp-email generators (Throw away email accounts). This allows for the creation of infinite accounts subsequently bypassing any means to enforce a ban. While it will require you to start from the beginning, the point is you will still be able to play. This also works if you switch your existing banned account to a new server, but once again you will be starting from the beginning. Do cheats and trainers work in this game? Absolutely! However, anyone telling you it's undetectable and/or won't result in a ban, or if you follow certain steps, or activate and deactivate certain cheats at certain times will prevent detection is 100% lying to you. The ACE program detects script injections instantly. What kind of ban are we talking about here? Well, let me put it to you this way. All my accounts are 3 days into a 24hr ban. So, I'm going to go out on a limb here and say perma ban. Now to play this game in earnest and give my thoughts on it. Update: Sorry, but I had to turn off comments. I was tired of manually deleting all the drive-by posting. I almost forgot how petty people can be. Final Update: I'll put my overall impression first so you don't have to read a wall of text. Wuthering Waves is a standout in its genre for its combat depth, movement mechanics, and generous gacha system. If you enjoy action-oriented RPGs with skill-based combat and exploration, it's very compelling. There is plenty of content in the game, it's fun, and it's free. I promise, it is worth at least 300hrs of fun. Double that if you follow the story and don't skip cut scenes. The game is not dependent on gatcha (convene) pulls and the gotcha system does not prevent you from doing literally anything in the game. Each character is a genuine addition to your collection with unique combat animations, styles, and personalities. However, it's not without its flaws. Storytelling is an absolute mess, the story itself is all over the place and makes literally no sense at all. Technical issues remain (especially on weaker hardware), and some of the gacha and side-content design may feel repetitive or frustrating. The music is pure cringe at times, not all the time though, the mouth movements on characters are not synced and at times don't move at all, and the English voice acting is very bad. Simple Chinese words we know how to pronounce in English are butchered leading many to suspect AI based translations. There is an English voice acting team for certain but who knows in these crazy times. Finally, once you've made it to the end, that's it. Once you've done every main mission, side mission, puzzle, and event there's no reason to continue playing until new content with new character releases. Bottom line: It's a very good, very enjoyable game, and many of its strengths outweigh its drawbacks but whether it's worth it will depend a lot on what kind of player you are. Gotcha games tend to rely on character collection rather than dynamic storytelling. Read below for my more in-depth analysis. Pros: Dynamic, High-Skill Combat: Combat is very engaging: You have parries, dodges, combos, and character intro/outro skills that reward timing and strategy. Mastering character synergy (via team swapping) is satisfying and deep. Exploration & Movement Mechanics: The world design encourages vertical movement: wall-running, grappling hooks, and other traversal mechanics make exploration feel fluid and fun. Because of these mobility tools, exploration feels more dynamic than in many open-world gacha games. Generous Gacha Economy: Theres a pity system (hard pity for 5-star Convenes) that is more forgiving than some other gacha games. The game provides relatively generous free rewards, making it more accessible to free-to-play players. Echo System: Instead of just regular gear, you equip Echoes (monster-like companions) that boost stats or give unique effects, adding strategic depth. Echoes are farmable without strict daily limits, which avoids some gacha fatigue. Strong Visual & Audio Presentation: The games art direction leans into a moody, cinematic anime realism, which helps build a compelling, atmospheric world. Character animations especially during combat are polished and expressive. Meaningful Progression & Reward Systems: The progression systems (leveling, Echoes, character tuning) offer depth without overwhelming newer players. Kuro Games has shown commitment to compensating players when there are issues (bugs, launches, etc.). Cons: Technical / Performance Issues: On lower or mid tier rigs, performance can be inconsistent: frame drops and optimization problems are reported regularly. At launch, there were some persistent bugs, crashes, and even audio problems. Most of it has been fixed but some still persist. Narrative & Story Problems: The early parts of the story are heavy on exposition, jargon, and unclear terminology, which can be off-putting. I found the storytelling uneven, with certain character arcs or lore being too cryptic. The world mechanics are never explained. The English voice acting is flat and poorly directed. Kind of sounds like AI voice modulation at time. Element System Is Under-whelming: Although there are multiple elemental types, Their impact is shallow. For example, fire doesnt do damage over time, ice doesnt immobilize, etc. Because of that, character differentiation leans more on movement and skill combos. Repetitive / Weak Side Content: Side quests are sometimes repetitive or fetch-quest heavy. After a while, the reward system for Echoes or exploration can feel grindy or same-y. Gacha Drawbacks (Especially for Characters) While the pity system helps, character gacha can still feel punishing: standard 50/50 mechanics and very low rates for 5-star. Because of this, building a strong, optimal roster might require a lot of pulls, which can be outright infuriating for F2P. Co-op Mode Limitations: Co-op feels somewhat limited. There's little meaningful content to do together, and players sometimes feel like they're just along for the ride. Some bugs in co-op have been reported (e.g., desync, unresponsive states) that hamper the experience. Longevity / Live-Service Risk As a live-service, gacha-based game, theres always a risk of diminishing player base or less support down the line. This game very little replay value and end game burnout happens very quickly.","Very long, took a while to realize this was a positive review?"
positive,"A gacha game that feels more like an actual game than a gacha. The developers listen, improve the game each patch and the story is hitting some of the highest highs. I highly recommend you try it and give it a shot.",
positive,"Wuthering Waves actually managed to make me quit Genshin completely. Everything else feels so much better than Genshin, even though I have to admit the story at the beginning (Huanglong region) is bad that I think you should just skip it. Black Shore is where the story starts to become good and interesting for me, and my favorite romance part of this game is when Rover tries to save Shorekeeper. I feel like Rinascita region is where this game truly shines and the story really begins for me. And the fact that I can experience a AAA game for free is amazing. Also, Id like to mention that even though I always love playing as badass, cool female characters, I still wish kuro would balance out the ratio of playable male characters, sometimes it feels weird that male characters rarely appear in the story. I want more husbandos kuro!!",
positive,"This is the first and only gacha game I play. It got my attention at release when I was willing to give a gacha game a try & I remember being confused whether to get in to WUWA or Genshin. I ended up choosing WUWA and glad I did. I have over 500+ hours on PS5 that's how much I love it and now I have moved to Steam so glad WUWA is on steam unlike genshin. I still wish they add achievements support on here. The story of the base game is pretty basic and can be underwhelming but it picks up with the Black Shores update and moving forward Renascita & Lahai-Roi are Absolute Cinema. My favourite battle in the game until last update was the Fleurdelys fight (I still listen to the music to this day, top notch) but now it's the Aleph-1 fight. My favourite character in the game until last update was Cartethiya but now it's Denia. It just shows how they keep one upping themselves. Sadly there is a lack of male characters and the few they have aren't the very best in terms of power. I love the design of Brant so much but I sadly don't see point of using him personally because to ace the end game events you are better off with more powerful characters like Cartethiya, Aemeath, Lynae, Augusta, Iuno , Hiyuki etc. at the time of me writing this review unless u r a very highly skilled danjin main lol. of course meta shifts over time but this game relies a lot on skill too, unlike most other gacha games where every old character gets power crept very quickly. ShoreKeeper from BlackShores update is still one of the strongest character in game for example. The combat is brilliant, story telling is phenomenal, the world environment is gorgeous and the convene system is fair. Love the collaborations lately. We got Resident Evil & Persona not so long ago, currently we have PRAGMATA & a whole Cyberpunk event with Edgerunners characters are coming after Lucilla banner so excited for that. This is the definitive gacha to play in 2026. You will not regret it! O and not that anyone reading will care, but my youtube feed is full of WUWA videos so yeah I love this so much lol. I want Camellya mascot in game!!!",
positive,"This is my first 'gatcha' game. I thought I would give this game a try since it was F2P and see if it would be good enough to keep me interested. I gave it shot because.. well I didn't know what else to play. I am primarily an RPG genre player and I had just finished Claire Obscure 33 and I was debating on what game would be able to pick my time on. I was and honestly still leaning on getting RDR2, but I figured this is 'free' and well why not, worse case I will get bored and I can just stop playing it. I am not very picky with my RPG's. I grew up with the Final Fantasy series and the main points I like in an RPG are story, music/soundtrack, and graphics/designs. The fighting mechanics not to picky on I would say. After getting into WUWA I can say that it checks all of the boxes for me. I had no idea that I would still be playing this game since I started. I am over 300 HOURS in. I haven't invested this much time in game since the Witcher 3. This game is great. The writing, the music, the display and open world. The different characters that you can 'buy' or 'pull' for have their own stories which are made into a side quest type. They are well made. I like how you can at least play with them for some time to get to feel how they play and look. The main story line also merges some on the newer characters that you can pull for as well. This is my first Gatcha game I can't really compare it to others as far as the pulling mechanics for characters, weapons, etc. I hear from other reviews that WUWA is one of the friendliest in the Gatcha genre. I will say that I did throw some money at this game to pull for a couple of characters and honestly to throw some money at Kuro games for this great game. In closing I will suggest this game to anyone is looking for great gameplay, great soundtrack, great story (thus far). I really don't know how far I will go with this game since I already caught up to 2.8. I know 3.0 is coming and I will more than likely give the 3.0 a shot. It is tempting to pull for these new players, but also it is a temptation of time :). I have played some great RPG's Witcher 3, Cyberpunk 2077, the Final Fantasy Series, Skyrim, Tomb Raider, some Tales series Expedition 33, Some Assassins Creed, Horizon FW and ZD, and others as well. WUWA definitely keep me interested in this game. Nice game Kuro! Blessings.",
positive,"As someone who has tried a lot of gacha games, wuwa is one of the two that i regularly come back to. It'a a nice, story rich and just honestly a really fun game, especially for a gacha which is quite rare. The character design is really nice, the combat is fun and engaging, it generally respects your time more than most gachas, Exploration is really unique, In the beggining the story might be a slog to go through but it picks up later, and the beginning areas of the map are also nothing to write home about. Overall would recommend, however FIX YOUR OPTIMIZATION KURO THE LATER AREAS OF THE MAP MAKE THE GAME DROP BELOW 30 FKIN FPS!!!!, AND ALSO THE GAME IS 150 GB",
positive,Started because Jennifer English is a voice actress for this game. Stayed because [strike] of gambling problems [/strike] i enjoy the anticipation and excitement from pulling banners.,
positive,"Got about 600 hours into it The game it's really cool , rich story , cool open world. If you have very little time with about 3-5 min you can finish your daily stuff and log out. The end game it's actually decent, not to easy not to hard, Con: Not so much, Probabilly the lack of CO-OP stuff , this game really could be more social, There are a few issues with asetts loadin but it runs fine. Score: 9.5/10 Tip: If you wanna try it , please do not use your Lusturus tides ( green one ) on Standard banner , it's a waste. They are ment to be used on f2p weapons, Get frist Phasic Homogenizer > Static mist / Pulsation bracers , skip EoG(sword) because that one you will get it at UL45 for free from the box.",
positive,"I can listen to Persona 5 soundtrack, while riding my Resident Evil motorcycle as Lucy from Cyberpunk Edgerunners.",
positive,"One of the few decent Gacha slop games i've played, you dont have to worry about the Gacha aspects too much and you can get currency pretty easily just by playing, it can get harder to farm currency late into the game but by than you should have most of the characters you want anyway. Ty Kuro games best ccp spyware on the market",
positive,"1.0-----> yaaaay another gatcha game 3.1-----> non-stop sobbing on the main quest Aleph-1 on sight, I never forgive you!!",Nothing really says this review is positive clearly; would need context of the actual game story to understand they are really invested and enjoy the story
positive,---{ Graphics }--- You forget what reality is Beautiful Good Decent Bad Dont look too long at it MS-DOS ---{ Gameplay }--- Very good Good It's just gameplay Mehh Watch paint dry instead Just don't ---{ Audio }--- Eargasm Very good Good Not too bad Bad I'm now deaf ---{ Audience }--- Kids Teens Adults Grandma ---{ PC Requirements }--- Check if you can run paint Potato Decent Fast Rich boi Ask NASA if they have a spare computer ---{ Game Size }--- Floppy Disk Old Fashioned Workable Big Will eat 15% of your 1TB hard drive You will want an entire hard drive to hold it You will need to invest in a black hole to hold all the data ---{ Difficulty }--- Just press 'W' Easy Easy to learn / Hard to master Significant brain usage Difficult Dark Souls ---{ Grind }--- Nothing to grind Only if u care about leaderboards/ranks Isn't necessary to progress Average grind level Too much grind You'll need a second life for grinding ---{ Story }--- No Story Some lore Average Good Lovely It'll replace your life ---{ Game Time }--- Long enough for a cup of coffee Short Average Long To infinity and beyond ---{ Price }--- It's free! Worth the price If it's on sale If u have some spare money left Not recommended You could also just burn your money ---{ Bugs }--- Never heard of Minor bugs Can get annoying ARK: Survival Evolved The game itself is a big terrarium for bugs ---{ 8 / 10 }--- 1 2 3 4 5 6 7 8 9 10,"Seems like the review had some type of format of their own like a form. Shows a range of choices to choose from when rating specific aspects of the game (""Very good"", ""Good"", ""It's just gameplay"", ""Meh"", ""Watch paint try instead"", ""Just don't"") Don't even know which one they picked?"
